#right,strike,expiry,open,high,low,close,volume,open_interest,implied_volatility,delta,gamma,vega,theta,rho
,,,94.2800,94.2900,94.2800,93.7700,3068,,,,,,,
C,56.43,20140816,37.6500,38.6750,36.8000,37.3250,0,98,0.4385049,0.9406282,0.0008942,0.0058182,0.0726461,0.0994477
C,56.43,20141018,37.6500,38.7250,36.8750,37.3250,0,7,0,0.8959846,0.0000000,0.0000000,0.0710041,0.1973717
C,56.43,20150117,37.7250,38.6750,36.7250,37.5250,0,490,0,0.8286846,0.0000000,0.0000000,0.0655861,0.3370598
C,56.43,20150417,37.6500,38.5000,36.8750,37.3500,0,,0.1649556,0.7345483,0.0063456,0.0598851,0.0564751,0.4471430
C,57.14,20140621,37.0500,37.6500,36.2500,36.6750,0,91,0,0.9923072,0.0000000,0.0000000,0.0787443,0.0140867
C,57.14,20140719,36.9250,37.9250,35.8000,36.5750,0,882,0,0.9687504,0.0000000,0.0000000,0.0768478,0.0578787
C,57.14,20140816,37.3000,37.9250,36.2000,36.6250,0,35,1.1439740,0.8287596,0.0045101,0.0765527,-0.0014976,0.0761967
C,57.14,20141018,37.1800,37.1800,35.6000,35.6000,40,1359,0,0.8959846,0.0000000,0.0000000,0.0709896,0.1998550
C,57.14,20150117,36.5500,37.5000,36.5500,36.6900,345,38755,0,0.8286846,0.0000000,0.0000000,0.0655716,0.3413007
C,57.14,20150417,37.0000,37.8500,36.2000,36.6250,0,7,0.1612927,0.7310398,0.0070475,0.0650316,0.0560864,0.4501588
C,57.14,20160115,37.5000,37.5000,36.5500,36.5500,125,17610,0,0.6068993,0.0000000,0.0000000,0.0477182,0.9002781
C,57.86,20140621,36.5000,37.2500,35.5250,36.0500,0,,2.0775746,0.9404066,0.0034911,0.0156341,-0.1057845,0.0128753
C,57.86,20140719,36.3300,36.3300,36.3300,36.3300,0,168,0,0.9687504,0.0000000,0.0000000,0.0768330,0.0586080
C,57.86,20140816,36.2000,37.2250,35.3250,35.9000,0,,1.3175914,0.8068985,0.0044041,0.0860982,-0.0230960,0.0709400
C,57.86,20141018,36.2000,37.1500,35.7000,36.1000,0,,1.2496161,0.7259880,0.0039036,0.1350257,-0.0080992,0.1123632
C,57.86,20150117,36.1500,37.5500,35.0250,35.6500,0,2100,0,0.8286846,0.0000000,0.0000000,0.0655568,0.3456013
