BEBE,BEBE,6.12,134553,1329571
BECN,BECN,38.66,117259,8730023
BEE,BEE,10.18,739498,8093421
BELFA,BELFA,19.52,919,23672
BELFB,BELFB,21.9,25125,439303
BEN,BEN,54.19,1046492,96600387
BEP,BEP,29.15,15647,374475
BERY,BERY,23.14,252236,8142848
BF.A,BF.A,89.06,713,351121
BF.B,BF.B,89.71,221604,29255530
BFAM,BFAM,38.9,384421,6768803
BFIN,BFIN,9.98,29448,186805
BFK,BFK,13.3,31324,415010
BFO,BFO,15.1,3044,92183
BFOR,BFOR,30.37,14867,436830
BFR,BFR,8.36,243893,1065130
BFS,BFS,47.35,18473,635552
BFY,BFY,13.65,4478,77597
BFZ,BFZ,14.64,9313,355090
BG,BG,79.5,419079,47941790
BGB,BGB,17.72,59149,923920
BGC,BGC,25.61,624907,17079755
BGCA,BGCA,26.79,10603,126070
BGCP,BGCP,6.54,618633,4600941
BGFV,BGFV,16.05,184787,2076531
BGG,BGG,22.25,217945,4418657
BGH,BGH,23.99,29630,837738
BGI,BGI,1.08,12076,5716
BGMD,BGMD,1.92,333172,2077161
BGR,BGR,24.15,76691,824738
BGS,BGS,30.11,177103,5588487
BGT,BGT,14.25,112037,605278
BGX,BGX,17.6,23455,428008
BGY,BGY,8.06,179459,1234719
BH,BH,487.5,1908,1736823
BHB,BHB,38.05,3440,130524
BHE,BHE,22.66,451596,5020989
BHI,BHI,65.01,1985025,172012610
BHK,BHK,13.44,60334,407450
BHL,BHL,13.78,15152,122556
BHLB,BHLB,25.87,25593,931357
BHP,BHP,67.78,1266346,87384709
BHV,BHV,15.52,38,26020
BIB,BIB,79.86,171164,14674186
BICK,BICK,24.54,15,25418
BID,BID,43.56,545827,39950956
BIDU,BIDU,152.38,3210251,462634721
BIE,BIE,14.2,1530,101142
BIF,BIF,8.12,9440,147831
BIG,BIG,37.85,1358922,40177920
BIIB,BIIB,305.87,1325277,383041542
BIK,BIK,22.23,59373,961722
BIL,BIL,45.77,471387,9455404
BIN,BIN,25.3,95530,3045927
BIND,BIND,11.96,81957,869366
BIO.B,BIO.B,128.19,179,23346
BIO,BIO,128.12,43950,8284582
BIOA,BIOA,11.48,11109,264345
BIOC,BIOC,7.34,4155,161566
BIOD,BIOD,2.73,251501,587603
GRBK,BIOF,7.3,9631374,6772813
BIOL,BIOL,2.41,103487,514560
BIOS,BIOS,6.98,723998,7669989
BIP,BIP,39.4,70153,5574143
BIRT,BIRT,6.02,101374,1073410
BIS,BIS,17.82,199939,3400189
BIT,BIT,17.75,57057,1039211
BITA,BITA,35.85,519074,22500808
BIV,BIV,83.33,71016,4976170
